앞글자,뒷글자,빈도
<BOS>,벚,29
<BOS>,쐐,60
<BOS>,잔,780
<BOS>,천,2200
<BOS>,향,562
<BOS>,값,157
<BOS>,좌,765
<BOS>,질,1982
<BOS>,거,5167
<BOS>,페,499
<BOS>,빵,116
<BOS>,항,1106
<BOS>,꾼,529
<BOS>,해,2361
<BOS>,멸,160
<BOS>,켜,36
<BOS>,혀,103
<BOS>,힐,107
<BOS>,그,1386
<BOS>,력,585
<BOS>,언,701
<BOS>,음,1362
<BOS>,댐,73
<BOS>,막,803
<BOS>,접,745
<BOS>,코,978
<BOS>,녹,599
<BOS>,모,2646
<BOS>,서,2278
<BOS>,들,1023
<BOS>,양,2005
<BOS>,밤,341
<BOS>,레,568
<BOS>,펜,77
<BOS>,파,2189
<BOS>,청,1795
<BOS>,에,1294
<BOS>,한,1657
<BOS>,국,2506
<BOS>,빈,456
<BOS>,앉,140
<BOS>,꼬,723
<BOS>,꼴,259
<BOS>,덜,265
<BOS>,머,871
<BOS>,엿,105
<BOS>,옷,230
<BOS>,윷,36
<BOS>,잡,847
<BOS>,토,1335
<BOS>,톱,169
<BOS>,악,778
<BOS>,벌,826
<BOS>,못,175
<BOS>,잠,694
<BOS>,당,1306
<BOS>,신,3144
<BOS>,니,496
<BOS>,좁,90
<BOS>,쥉,2
<BOS>,쥥,2
<BOS>,덕,273
<BOS>,떡,316
<BOS>,뢰,81
<BOS>,멍,126
<BOS>,침,742
<BOS>,톳,14
<BOS>,밥,440
<BOS>,줄,782
<BOS>,맞,576
<BOS>,좃,20
<BOS>,독,1103
<BOS>,중,2852
<BOS>,듣,61
<BOS>,층,427
<BOS>,발,2243
<BOS>,빗,265
<BOS>,색,815
<BOS>,걸,660
<BOS>,길,711
<BOS>,꿰,41
<BOS>,너,379
<BOS>,넓,163
<BOS>,놓,103
<BOS>,눕,20
<BOS>,닫,76
<BOS>,돛,34
<BOS>,둑,67
<BOS>,딴,89
<BOS>,띠,303
<BOS>,맡,19
<BOS>,목,1619
<BOS>,새,1341
<BOS>,썰,80
<BOS>,쓰,214
<BOS>,왈,163
<BOS>,외,1555
<BOS>,잘,387
<BOS>,젓,186
<BOS>,쥐,345
<BOS>,짜,314
<BOS>,찢,13
<BOS>,태,957
<BOS>,테,439
<BOS>,퍼,226
<BOS>,피,1481
<BOS>,회,2246
<BOS>,획,77
<BOS>,흔,176
<BOS>,누,1038
<BOS>,복,1680
<BOS>,리,1100
<BOS>,만,1531
<BOS>,강,2292
<BOS>,것,124
<BOS>,깍,98
<BOS>,담,834
<BOS>,받,315
<BOS>,붙,276
<BOS>,뿌,342
<BOS>,왕,1116
<BOS>,잉,190
<BOS>,젖,214
<BOS>,좀,242
<BOS>,즙,48
<BOS>,염,1400
<BOS>,로,1397
<BOS>,웨,124
<BOS>,틀,242
<BOS>,씨,556
<BOS>,패,643
<BOS>,늦,134
<BOS>,딜,45
<BOS>,맏,47
<BOS>,맛,145
<BOS>,뼈,266
<BOS>,찌,452
<BOS>,긿,5
<BOS>,병,1675
<BOS>,빛,300
<BOS>,굴,555
<BOS>,굽,213
<BOS>,둥,427
<BOS>,때,312
<BOS>,떼,262
<BOS>,뚜,201
<BOS>,멀,184
<BOS>,솥,70
<BOS>,싸,448
<BOS>,터,461
<BOS>,티,451
<BOS>,넣,27
<BOS>,뭉,184
<BOS>,숟,39
<BOS>,더,577
<BOS>,까,754
<BOS>,덤,129
<BOS>,죠,21
<BOS>,있,19
<BOS>,박,1261
<BOS>,긁,52
<BOS>,똥,198
<BOS>,쪽,244
<BOS>,훌,151
<BOS>,꼭,152
<BOS>,희,597
<BOS>,콘,186
<BOS>,끼,212
<BOS>,별,695
<BOS>,설,1214
<BOS>,큰,594
<BOS>,곰,241
<BOS>,함,777
<BOS>,혼,743
<BOS>,쌍,718
<BOS>,입,1209
<BOS>,메,877
<BOS>,요,1446
<BOS>,용,1318
<BOS>,프,745
<BOS>,낙,537
<BOS>,녀,214
<BOS>,간,1779
<BOS>,춤,219
<BOS>,취,685
<BOS>,친,425
<BOS>,득,233
<BOS>,량,581
<BOS>,불,3078
<BOS>,심,1563
<BOS>,란,294
<BOS>,궂,45
<BOS>,년,221
<BOS>,섹,24
<BOS>,존,312
<BOS>,훈,295
<BOS>,운,1239
<BOS>,뽕,120
<BOS>,풀,788
<BOS>,료,222
<BOS>,갑,337
<BOS>,반,3077
<BOS>,알,1370
<BOS>,칼,565
<BOS>,롭,117
<BOS>,펌,96
<BOS>,엔,132
<BOS>,첨,331
<BOS>,라,806
<BOS>,난,973
<BOS>,냉,442
<BOS>,램,50
<BOS>,맨,126
<BOS>,버,1019
<BOS>,봄,153
<BOS>,블,233
<BOS>,액,476
<BOS>,욕,233
<BOS>,직,1157
<BOS>,총,907
<BOS>,탱,85
<BOS>,풍,923
<BOS>,납,449
<BOS>,렌,115
<BOS>,광,1831
<BOS>,뷰,31
<BOS>,빼,299
<BOS>,샘,167
<BOS>,엑,111
<BOS>,윤,478
<BOS>,크,545
<BOS>,확,329
<BOS>,령,450
<BOS>,깊,39
<BOS>,놀,465
<BOS>,둘,130
<BOS>,벽,490
<BOS>,숨,152
<BOS>,앓,22
<BOS>,팍,31
<BOS>,높,134
<BOS>,림,362
<BOS>,척,404
<BOS>,힘,149
<BOS>,삼,2486
<BOS>,먼,161
<BOS>,각,1050
<BOS>,꺽,56
<BOS>,꽈,64
<BOS>,넝,37
<BOS>,달,1011
<BOS>,덩,277
<BOS>,딸,314
<BOS>,밭,341
<BOS>,뿔,234
<BOS>,섶,36
<BOS>,아,4778
<BOS>,엉,257
<BOS>,울,485
<BOS>,털,520
<BOS>,쿨,87
<BOS>,끌,155
<BOS>,쉬,146
<BOS>,논,583
<BOS>,행,1009
<BOS>,곡,844
<BOS>,착,445
<BOS>,탕,400
<BOS>,흥,329
<BOS>,북,731
<BOS>,홀,381
<BOS>,돈,449
<BOS>,뜰,73
<BOS>,손,1013
<BOS>,눌,64
<BOS>,뛰,140
<BOS>,걷,74
<BOS>,꿀,152
<BOS>,밀,829
<BOS>,볕,32
<BOS>,택,132
<BOS>,뮐,6
<BOS>,넘,161
<BOS>,괘,143
<BOS>,숙,500
<BOS>,첩,192
<BOS>,칸,91
<BOS>,죽,559
<BOS>,혐,78
<BOS>,묘,365
<BOS>,숫,153
<BOS>,껍,122
<BOS>,게,611
<BOS>,괭,64
<BOS>,김,709
<BOS>,꽂,64
<BOS>,번,650
<BOS>,삿,71
<BOS>,짠,49
<BOS>,찜,98
<BOS>,솎,22
<BOS>,월,606
<BOS>,쪼,205
<BOS>,쌈,138
<BOS>,뇌,423
<BOS>,휜,5
<BOS>,꿋,5
<BOS>,론,556
<BOS>,벨,104
<BOS>,루,406
<BOS>,애,1210
<BOS>,갱,228
<BOS>,탐,416
<BOS>,둔,191
<BOS>,율,313
<BOS>,촉,327
<BOS>,플,475
<BOS>,갓,168
<BOS>,괄,59
<BOS>,좆,15
<BOS>,측,519
<BOS>,혈,496
<BOS>,격,476
<BOS>,암,1021
<BOS>,궤,285
<BOS>,돔,77
<BOS>,멧,72
<BOS>,붓,115
<BOS>,탈,736
<BOS>,린,128
<BOS>,드,570
<BOS>,디,778
<BOS>,땡,81
<BOS>,볶,57
<BOS>,셔,62
<BOS>,쇄,194
<BOS>,얼,728
<BOS>,엷,9
<BOS>,팥,96
<BOS>,흡,310
<BOS>,옹,339
<BOS>,초,1956
<BOS>,습,355
<BOS>,옛,31
<BOS>,흙,250
<BOS>,맥,291
<BOS>,필,514
<BOS>,록,333
<BOS>,책,421
<BOS>,촬,114
<BOS>,킥,42
<BOS>,곤,390
<BOS>,술,612
<BOS>,폐,568
<BOS>,짝,214
<BOS>,셈,93
<BOS>,활,648
<BOS>,류,706
<BOS>,갇,9
<BOS>,긴,431
<BOS>,꺾,82
<BOS>,늪,11
<BOS>,닙,17
<BOS>,닦,36
<BOS>,묻,38
<BOS>,숲,69
<BOS>,웜,11
<BOS>,즘,16
<BOS>,짚,114
<BOS>,홍,749
<BOS>,궐,130
<BOS>,낚,144
<BOS>,촌,231
<BOS>,땋,4
<BOS>,펭,14
<BOS>,핀,85
<BOS>,짓,238
<BOS>,륜,123
<BOS>,꿩,70
<BOS>,응,544
<BOS>,클,318
<BOS>,썩,57
<BOS>,엎,70
<BOS>,땅,309
<BOS>,삯,72
<BOS>,떨,255
<BOS>,십,562
<BOS>,밑,245
<BOS>,짬,50
<BOS>,갉,25
<BOS>,갊,2
<BOS>,갋,2
<BOS>,갏,3
<BOS>,또,129
<BOS>,믈,88
<BOS>,벼,319
<BOS>,빨,232
<BOS>,씹,23
<BOS>,춘,280
<BOS>,칠,562
<BOS>,핵,292
<BOS>,헤,513
<BOS>,볼,527
<BOS>,능,472
<BOS>,탑,262
<BOS>,올,606
<BOS>,밸,63
<BOS>,된,100
<BOS>,튀,78
<BOS>,콩,430
<BOS>,흐,266
<BOS>,같,116
<BOS>,규,572
<BOS>,몸,241
<BOS>,댕,149
<BOS>,쾌,141
<BOS>,낮,98
<BOS>,밝,22
<BOS>,벙,133
<BOS>,붑,8
<BOS>,칩,31
<BOS>,훠,4
<BOS>,놈,73
<BOS>,답,252
<BOS>,맹,344
<BOS>,섬,720
<BOS>,슛,14
<BOS>,완,664
<BOS>,융,213
<BOS>,익,272
<BOS>,턱,165
<BOS>,팀,25
<BOS>,펀,84
<BOS>,펄,122
<BOS>,퇴,447
<BOS>,굿,281
<BOS>,묵,327
<BOS>,써,68
<BOS>,객,351
<BOS>,팔,845
<BOS>,헌,314
<BOS>,엮,20
<BOS>,겸,248
<BOS>,믹,13
<BOS>,징,382
<BOS>,휴,356
<BOS>,쌀,266
<BOS>,갖,68
<BOS>,남,1140
<BOS>,움,219
<BOS>,폿,11
<BOS>,갗,2
<BOS>,으,269
<BOS>,갚,7
<BOS>,곽,81
<BOS>,꾸,394
<BOS>,꿈,95
<BOS>,느,216
<BOS>,돼,108
<BOS>,뚝,86
<BOS>,립,224
<BOS>,뻘,114
<BOS>,삽,171
<BOS>,셍,12
<BOS>,쉽,10
<BOS>,싱,156
<BOS>,싹,73
<BOS>,쓴,24
<BOS>,씀,36
<BOS>,않,11
<BOS>,억,315
<BOS>,옻,24
<BOS>,줌,37
<BOS>,짐,197
<BOS>,찰,380
<BOS>,키,283
<BOS>,폼,20
<BOS>,황,1279
<BOS>,흘,219
<BOS>,빌,98
<BOS>,뜀,31
<BOS>,봇,45
<BOS>,곳,70
<BOS>,핥,8
<BOS>,링,66
<BOS>,똘,31
<BOS>,견,618
<BOS>,델,36
<BOS>,빠,341
<BOS>,콤,41
<BOS>,컴,95
<BOS>,쒜,17
<BOS>,널,178
<BOS>,님,117
<BOS>,쩍,46
<BOS>,갠,7
<BOS>,갤,42
<BOS>,갬,7
<BOS>,갭,13
<BOS>,겨,245
<BOS>,댑,6
<BOS>,꼼,82
<BOS>,갸,62
<BOS>,갹,8
<BOS>,걀,37
<BOS>,걍,1
<BOS>,걔,2
<BOS>,낫,91
<BOS>,봐,9
<BOS>,궁,658
<BOS>,잇,96
<BOS>,즁,4
<BOS>,몰,470
<BOS>,션,9
<BOS>,왓,10
<BOS>,씬,11
<BOS>,뱃,73
<BOS>,깨,321
<BOS>,늘,153
<BOS>,딱,203
<BOS>,련,525
<BOS>,렬,112
<BOS>,왇,14
<BOS>,줍,6
<BOS>,룡,161
<BOS>,쌓,52
<BOS>,릴,44
<BOS>,걱,42
<BOS>,깡,116
<BOS>,삶,24
<BOS>,긋,35
<BOS>,따,417
<BOS>,뜸,89
<BOS>,멋,38
<BOS>,흉,267
<BOS>,릉,95
<BOS>,및,11
<BOS>,겔,28
<BOS>,젤,35
<BOS>,굳,97
<BOS>,솨,7
<BOS>,찍,51
<BOS>,걹,1
<BOS>,걿,1
<BOS>,뜯,53
<BOS>,묽,27
<BOS>,붉,208
<BOS>,븕,3
<BOS>,팽,166
<BOS>,푸,560
<BOS>,잿,39
<BOS>,괵,11
<BOS>,뱀,84
<BOS>,짤,253
<BOS>,흰,407
<BOS>,흑,449
<BOS>,깃,154
<BOS>,맵,50
<BOS>,겁,128
<BOS>,곶,33
<BOS>,긇,3
<BOS>,셥,3
<BOS>,쟈,31
<BOS>,챵,4
<BOS>,겅,49
<BOS>,겇,1
<BOS>,겉,289
<BOS>,꺼,381
<BOS>,낯,46
<BOS>,넌,67
<BOS>,늙,45
<BOS>,땀,96
<BOS>,뜻,49
<BOS>,띄,36
<BOS>,잣,72
<BOS>,꽁,88
<BOS>,팩,22
<BOS>,겍,1
<BOS>,겐,6
<BOS>,겜,1
<BOS>,겝,5
<BOS>,겟,11
<BOS>,겡,17
<BOS>,겥,1
<BOS>,펴,27
<BOS>,즉,193
<BOS>,칭,143
<BOS>,겪,5
<BOS>,훤,45
<BOS>,셩,12
<BOS>,겯,13
<BOS>,엽,232
<BOS>,앙,401
<BOS>,칙,72
<BOS>,겹,323
<BOS>,곱,268
<BOS>,깔,215
<BOS>,낱,67
<BOS>,빔,42
<BOS>,쉼,20
<BOS>,겻,16
<BOS>,뒷,336
<BOS>,앞,383
<BOS>,댄,41
<BOS>,특,682
<BOS>,컨,69
<BOS>,왜,321
<BOS>,읍,93
<BOS>,람,84
<BOS>,커,178
<BOS>,겿,3
<BOS>,곁,156
<BOS>,뺨,16
<BOS>,쐬,12
<BOS>,탁,319
<BOS>,략,61
<BOS>,랑,189
<BOS>,옆,121
<BOS>,덮,80
<BOS>,컵,19
<BOS>,락,280
<BOS>,랙,8
<BOS>,곕,2
<BOS>,곗,4
<BOS>,깟,14
<BOS>,냥,24
<BOS>,닥,106
<BOS>,샃,2
<BOS>,샅,30
<BOS>,을,106
<BOS>,즈,87
<BOS>,쯤,7
<BOS>,혜,193
<BOS>,멈,32
<BOS>,끄,170
<BOS>,빤,81
<BOS>,맑,32
<BOS>,와,580
<BOS>,닭,214
<BOS>,슬,252
<BOS>,휘,468
<BOS>,삐,278
<BOS>,룸,14
<BOS>,왁,85
<BOS>,듯,24
<BOS>,뇨,45
<BOS>,뒤,731
<BOS>,샌,50
<BOS>,넷,9
<BOS>,팅,19
<BOS>,최,593
<BOS>,벡,57
<BOS>,믿,30
<BOS>,텔,108
<BOS>,짱,39
<BOS>,폰,35
<BOS>,뒿,3
<BOS>,빙,371
<BOS>,뱉,4
<BOS>,곧,93
<BOS>,쌤,5
<BOS>,샛,68
<BOS>,폴,258
<BOS>,솝,9
<BOS>,혹,164
<BOS>,씌,14
<BOS>,팬,58
<BOS>,횟,39
<BOS>,곩,1
<BOS>,곪,5
<BOS>,곬,12
<BOS>,곯,8
<BOS>,덫,13
<BOS>,쓸,97
<BOS>,퓌,12
<BOS>,냄,42
<BOS>,잦,55
<BOS>,캐,142
<BOS>,얻,18
<BOS>,헬,65
<BOS>,깎,45
<BOS>,횡,265
<BOS>,쿠,181
<BOS>,브,462
<BOS>,샤,131
<BOS>,헛,244
<BOS>,센,127
<BOS>,던,58
<BOS>,닢,15
<BOS>,곷,1
<BOS>,곻,3
<BOS>,댁,52
<BOS>,벤,106
<BOS>,씻,38
<BOS>,뻬,35
<BOS>,멤,13
<BOS>,괌,2
<BOS>,괏,1
<BOS>,캠,33
<BOS>,뎡,5
<BOS>,좡,2
<BOS>,괜,9
<BOS>,괠,1
<BOS>,괫,1
<BOS>,싀,24
<BOS>,괸,3
<BOS>,굄,10
<BOS>,굇,1
<BOS>,굉,74
<BOS>,끝,172
<BOS>,텅,42
<BOS>,퇘,3
<BOS>,졀,9
<BOS>,쉐,40
<BOS>,꽝,34
<BOS>,뚫,22
<BOS>,쳉,25
<BOS>,뉴,154
<BOS>,퀴,31
<BOS>,잫,3
<BOS>,닻,51
<BOS>,옴,232
<BOS>,킬,68
<BOS>,굮,1
<BOS>,뎌,28
<BOS>,쌔,91
<BOS>,굵,36
<BOS>,굶,4
<BOS>,굻,3
<BOS>,굼,89
<BOS>,밧,56
<BOS>,닐,43
<BOS>,뎅,68
<BOS>,멱,70
<BOS>,궈,6
<BOS>,궉,2
<BOS>,궵,1
<BOS>,궹,4
<BOS>,뒈,16
<BOS>,뙈,13
<BOS>,띔,6
<BOS>,뺄,19
<BOS>,솟,63
<BOS>,쑤,71
<BOS>,졋,17
<BOS>,탬,5
<BOS>,젼,19
<BOS>,밋,23
<BOS>,젱,41
<BOS>,귄,4
<BOS>,귇,1
<BOS>,귓,48
<BOS>,볏,45
<BOS>,귕,3
<BOS>,귤,59
<BOS>,덧,300
<BOS>,듸,12
<BOS>,껏,35
<BOS>,룰,11
<BOS>,래,122
<BOS>,톤,46
<BOS>,워,153
<BOS>,밟,33
<BOS>,께,105
<BOS>,춍,3
<BOS>,긃,3
<BOS>,뗑,50
<BOS>,쭝,49
<BOS>,귿,7
<BOS>,뎨,10
<BOS>,싯,25
<BOS>,긄,1
<BOS>,끽,42
<BOS>,믓,4
<BOS>,섭,173
<BOS>,싣,10
<BOS>,앵,139
<BOS>,죵,7
<BOS>,쥬,20
<BOS>,랍,45
<BOS>,촛,19
<BOS>,험,101
<BOS>,핍,36
<BOS>,템,25
<BOS>,췌,66
<BOS>,닛,21
<BOS>,긍,123
<BOS>,긏,1
<BOS>,긑,5
<BOS>,긔,44
<BOS>,긜,1
<BOS>,긧,1
<BOS>,빱,1
<BOS>,잭,12
<BOS>,쿵,122
<BOS>,돓,3
<BOS>,밴,75
<BOS>,챗,12
<BOS>,챔,7
<BOS>,꿇,16
<BOS>,띳,16
<BOS>,큐,37
<BOS>,깇,2
<BOS>,긱,3
<BOS>,끗,12
<BOS>,뾰,98
<BOS>,쌕,13
<BOS>,긶,2
<BOS>,긷,4
<BOS>,녁,14
<BOS>,벋,38
<BOS>,켠,11
<BOS>,깁,26
<BOS>,홑,133
<BOS>,깅,3
<BOS>,깆,3
<BOS>,깉,1
<BOS>,깐,111
<BOS>,틈,54
<BOS>,깜,124
<BOS>,숯,41
<BOS>,깝,47
<BOS>,떠,223
<BOS>,쫒,2
<BOS>,깩,6
<BOS>,깬,6
<BOS>,깰,16
<BOS>,깸,3
<BOS>,깻,17
<BOS>,깽,41
<BOS>,꺄,43
<BOS>,꺅,8
<BOS>,꺌,8
<BOS>,꺍,2
<BOS>,묶,40
<BOS>,껀,22
<BOS>,껄,81
<BOS>,껌,58
<BOS>,껑,65
<BOS>,껓,1
<BOS>,껗,1
<BOS>,껙,3
<BOS>,껜,2
<BOS>,껠,5
<BOS>,껨,2
<BOS>,껭,4
<BOS>,껴,27
<BOS>,얹,9
<BOS>,꼉,2
<BOS>,럽,3
<BOS>,슈,201
<BOS>,텡,11
<BOS>,꼰,40
<BOS>,꼲,1
<BOS>,밉,31
<BOS>,좋,13
<BOS>,녱,1
<BOS>,뽑,23
<BOS>,꼽,75
<BOS>,꼿,15
<BOS>,땜,43
<BOS>,돗,48
<BOS>,맺,30
<BOS>,며,52
<BOS>,첼,14
<BOS>,꽉,7
<BOS>,꽐,7
<BOS>,꽛,3
<BOS>,꽤,10
<BOS>,쭈,122
<BOS>,꽥,8
<BOS>,꽹,34
<BOS>,꾀,91
<BOS>,퉁,131
<BOS>,꾐,15
<BOS>,꾹,9
<BOS>,밖,24
<BOS>,꿉,28
<BOS>,꿍,51
<BOS>,꿔,2
<BOS>,꿜,4
<BOS>,꿱,7
<BOS>,꿸,2
<BOS>,뀀,3
<BOS>,뀅,3
<BOS>,뀌,9
<BOS>,끅,7
<BOS>,끊,21
<BOS>,끍,2
<BOS>,끎,2
<BOS>,끓,30
<BOS>,끔,51
<BOS>,끕,1
<BOS>,끙,10
<BOS>,휨,8
<BOS>,뽐,11
<BOS>,룹,3
<BOS>,낀,12
<BOS>,낄,24
<BOS>,낌,8
<BOS>,낍,1
<BOS>,낏,2
<BOS>,낑,7
<BOS>,돋,77
<BOS>,뒹,7
<BOS>,흠,169
<BOS>,뻐,199
<BOS>,앰,13
<BOS>,딩,31
<BOS>,뭇,67
<BOS>,쭉,27
<BOS>,빚,75
<BOS>,뎝,8
<BOS>,쥭,11
<BOS>,캥,14
<BOS>,넥,11
<BOS>,탭,7
<BOS>,캡,18
<BOS>,셀,93
<BOS>,낛,4
<BOS>,든,51
<BOS>,낟,29
<BOS>,킹,20
<BOS>,는,49
<BOS>,롤,82
<BOS>,낡,6
<BOS>,톡,29
<BOS>,븥,4
<BOS>,켤,19
<BOS>,푼,76
<BOS>,낳,15
<BOS>,딛,9
<BOS>,붇,7
<BOS>,뻗,37
<BOS>,뿜,21
<BOS>,쏘,84
<BOS>,쏟,10
<BOS>,좇,14
<BOS>,째,144
<BOS>,쫓,16
<BOS>,캘,36
<BOS>,쏠,74
<BOS>,읽,14
<BOS>,쬐,16
<BOS>,찧,5
<BOS>,훑,22
<BOS>,낵,1
<BOS>,낸,3
<BOS>,낼,5
<BOS>,켄,23
<BOS>,냅,11
<BOS>,냇,15
<BOS>,냏,2
<BOS>,냐,1
<BOS>,냠,5
<BOS>,냬,1
<BOS>,댓,49
<BOS>,넉,83
<BOS>,넋,21
<BOS>,묏,27
<BOS>,넙,101
<BOS>,넛,5
<BOS>,넢,2
<BOS>,닷,25
<BOS>,넨,9
<BOS>,넬,9
<BOS>,넴,4
<BOS>,넵,7
<BOS>,넹,11
<BOS>,넼,1
<BOS>,넿,3
<BOS>,녇,1
<BOS>,녈,5
<BOS>,념,65
<BOS>,녑,7
<BOS>,녓,3
<BOS>,녕,25
<BOS>,녙,1
<BOS>,녛,3
<BOS>,녜,7
<BOS>,뉘,62
<BOS>,녯,5
<BOS>,런,36
<BOS>,뻔,82
<BOS>,펑,43
<BOS>,컷,13
<BOS>,러,95
<BOS>,몫,14
<BOS>,멥,11
<BOS>,랭,199
<BOS>,윗,95
<BOS>,픽,22
<BOS>,녾,1
<BOS>,놁,1
<BOS>,팡,46
<BOS>,놉,8
<BOS>,놋,61
<BOS>,뺏,9
<BOS>,쌘,4
<BOS>,놔,3
<BOS>,놰,1
<BOS>,핏,23
<BOS>,뇔,2
<BOS>,뇟,1
<BOS>,뇡,2
<BOS>,뇽,2
<BOS>,룩,14
<BOS>,눅,55
<BOS>,띵,11
<BOS>,삑,11
<BOS>,썹,3
<BOS>,엥,23
<BOS>,츼,8
<BOS>,콧,54
<BOS>,눋,2
<BOS>,눔,2
<BOS>,눗,5
<BOS>,눙,8
<BOS>,눛,1
<BOS>,눞,1
<BOS>,눟,1
<BOS>,눰,1
<BOS>,눼,1
<BOS>,뉨,5
<BOS>,뉫,2
<BOS>,뉯,1
<BOS>,뉵,2
<BOS>,늄,1
<BOS>,늗,2
<BOS>,늠,61
<BOS>,늡,2
<BOS>,늣,6
<BOS>,밪,2
<BOS>,늧,1
<BOS>,늬,12
<BOS>,늴,5
<BOS>,늿,1
<BOS>,닁,5
<BOS>,쟝,28
<BOS>,츠,31
<BOS>,닉,27
<BOS>,닌,3
<BOS>,뮈,10
<BOS>,닑,1
<BOS>,닓,1
<BOS>,딮,5
<BOS>,므,58
<BOS>,믜,10
<BOS>,뷔,30
<BOS>,닝,7
<BOS>,닞,2
<BOS>,닣,1
<BOS>,엇,196
<BOS>,훅,11
<BOS>,쿼,16
<BOS>,톈,14
<BOS>,홰,24
<BOS>,려,166
<BOS>,컬,71
<BOS>,벳,17
